card_id,name,rarity,card_type,cost,life,attribute,power,counter,color,block_icon,type,effect,trigger,card_set,card_image_url
EB01-001,Kouzuki Oden,L,Leader,,4,Slash,5000,,Red/Green,2,Land of Wano/Kouzuki Clan,"All of your {Land of Wano} type Character cards without a Counter have a +1000 Counter, according to the rules.
[DON!! x1] [When Attacking] If you have a {Land of Wano} type Character with a cost of 5 or more, this Leader gains +1000 power until the start of your next turn.",,-Memorial Collection- [EB-01],https://asia-en.onepiece-cardgame.com/images/cardlist/card/EB01-001.png
EB01-001_p1,Kouzuki Oden (Parallel),L,Leader,,4,Slash,5000,,Red/Green,2,Land of Wano/Kouzuki Clan,"All of your {Land of Wano} type Character cards without a Counter have a +1000 Counter, according to the rules.
[DON!! x1] [When Attacking] If you have a {Land of Wano} type Character with a cost of 5 or more, this Leader gains +1000 power until the start of your next turn.",,-Memorial Collection- [EB-01],https://asia-en.onepiece-cardgame.com/images/cardlist/card/EB01-001_p1.png
EB01-002,Izo,R,Character,5,,Ranged,7000,,Red,2,Land of Wano/Whitebeard Pirates,"[On Play] Give up to 1 rested DON!! card to your Leader or 1 of your Characters.
[On Your Opponent's Attack] [Once Per Turn] You may trash 1 card from your hand: If your Leader has the {Land of Wano} or {Whitebeard Pirates} type, give up to 1 of your opponent's Leader or Character cards −2000 power during this turn.",,-Memorial Collection- [EB-01],https://asia-en.onepiece-cardgame.com/images/cardlist/card/EB01-002.png
EB01-003,Kid & Killer,R,Character,4,,Slash/Special,5000,,Red,2,Supernovas/Kid Pirates,"[Rush] (This card can attack on the turn in which it is played.)
[When Attacking] If your opponent has 2 or less Life cards, this Character gains +2000 power during this turn.",,-Memorial Collection- [EB-01],https://asia-en.onepiece-cardgame.com/images/cardlist/card/EB01-003.png
EB01-003_p1,Kid & Killer (Parallel),R,Character,4,,Slash/Special,5000,,Red,2,Supernovas/Kid Pirates,"[Rush] (This card can attack on the turn in which it is played.)
[When Attacking] If your opponent has 2 or less Life cards, this Character gains +2000 power during this turn.",,-Memorial Collection- [EB-01],https://asia-en.onepiece-cardgame.com/images/cardlist/card/EB01-003_p1.png
EB01-004,Koza,C,Character,2,,Ranged,3000,1000,Red,2,Alabasta,[When Attacking] You may give your 1 active Leader −5000 power during this turn: Give up to 1 of your opponent's Characters −3000 power during this turn.,,-Memorial Collection- [EB-01],https://asia-en.onepiece-cardgame.com/images/cardlist/card/EB01-004.png
EB01-005,Doma,C,Character,1,,Slash,3000,1000,Red,2,Whitebeard Pirates Allies,,,-Memorial Collection- [EB-01],https://asia-en.onepiece-cardgame.com/images/cardlist/card/EB01-005.png
EB01-006,Tony Tony.Chopper,SR,Character,3,,Strike,4000,1000,Red,2,Animal/Straw Hat Crew,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)
[DON!! x2] [When Attacking] Give up to 1 of your opponent's Characters −3000 power during this turn.",,-Memorial Collection- [EB-01],https://asia-en.onepiece-cardgame.com/images/cardlist/card/EB01-006.png
EB01-006_p1,Tony Tony.Chopper (Parallel),SR,Character,3,,Strike,4000,1000,Red,2,Animal/Straw Hat Crew,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)
[DON!! x2] [When Attacking] Give up to 1 of your opponent's Characters −3000 power during this turn.",,-Memorial Collection- [EB-01],https://asia-en.onepiece-cardgame.com/images/cardlist/card/EB01-006_p1.png
EB01-006_p2,Tony Tony.Chopper (Parallel),SR,Character,3,,Strike,4000,1000,Red,2,Animal/Straw Hat Crew,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)
[DON!! x2] [When Attacking] Give up to 1 of your opponent's Characters −3000 power during this turn.",,-Memorial Collection- [EB-01],https://asia-en.onepiece-cardgame.com/images/cardlist/card/EB01-006_p2.png
