card_id,name,rarity,card_type,cost,life,attribute,power,counter,color,block_icon,type,effect,trigger,card_set,card_image_url
EB01-009_p1,Just Shut Up and Come with Us!!!!,C,Event,1,,,,,Red,2,Drum Kingdom/Straw Hat Crew,"[Counter] Look at 5 cards from the top of your deck and play up to 1 {Animal} type Character card with a cost of 3 or less. Then, place the rest at the bottom of your deck in any order.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],https://asia-en.onepiece-cardgame.com/images/cardlist/card/EB01-009_p1.png
EB01-009_r1,Just Shut Up and Come with Us!!!!,C,Event,1,,,,,Red,2,Drum Kingdom/Straw Hat Crew,"[Counter] Look at 5 cards from the top of your deck and play up to 1 {Animal} type Character card with a cost of 3 or less. Then, place the rest at the bottom of your deck in any order.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],https://asia-en.onepiece-cardgame.com/images/cardlist/card/EB01-009_r1.png
EB01-012_r1,Cavendish,SR,Character,5,,Slash,6000,1000,Green,2,Supernovas/Beautiful Pirates,"[On Play]/[When Attacking] If your Leader has the {Supernovas} type and you have no other [Cavendish] Characters, set up to 2 of your DON!! cards as active.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],https://asia-en.onepiece-cardgame.com/images/cardlist/card/EB01-012_r1.png
EB01-015_p2,Scratchmen Apoo,R,Character,1,,Special,1000,2000,Green,2,Supernovas/On-Air Pirates,[On Play] Rest up to 1 of your opponent's Characters with a cost of 2 or less.,,-ONE PIECE CARD THE BEST vol.2- [PRB-02],https://asia-en.onepiece-cardgame.com/images/cardlist/card/EB01-015_p2.png
EB01-015_r2,Scratchmen Apoo,R,Character,1,,Special,1000,2000,Green,2,Supernovas/On-Air Pirates,[On Play] Rest up to 1 of your opponent's Characters with a cost of 2 or less.,,-ONE PIECE CARD THE BEST vol.2- [PRB-02],https://asia-en.onepiece-cardgame.com/images/cardlist/card/EB01-015_r2.png
EB01-018_p1,Mountain God,C,Character,5,,Strike,7000,1000,Green,2,Animal/Land of Wano,,,-ONE PIECE CARD THE BEST vol.2- [PRB-02],https://asia-en.onepiece-cardgame.com/images/cardlist/card/EB01-018_p1.png
EB01-018_r1,Mountain God,C,Character,5,,Strike,7000,1000,Green,2,Animal/Land of Wano,,,-ONE PIECE CARD THE BEST vol.2- [PRB-02],https://asia-en.onepiece-cardgame.com/images/cardlist/card/EB01-018_r1.png
EB01-038_p1,Oh Come My Way,C,Event,1,,,,,Purple,2,Baroque Works,"[Counter] DON!! −1 (You may return the specified number of DON!! cards from your field to your DON!! deck.): If your Leader's type includes ""Baroque Works"", select 1 of your Characters. Change the attack target to the selected Character.",[] DON!! −1: Draw 2 cards.,-ONE PIECE CARD THE BEST vol.2- [PRB-02],https://asia-en.onepiece-cardgame.com/images/cardlist/card/EB01-038_p1.png
EB01-038_r1,Oh Come My Way,C,Event,1,,,,,Purple,2,Baroque Works,"[Counter] DON!! −1 (You may return the specified number of DON!! cards from your field to your DON!! deck.): If your Leader's type includes ""Baroque Works"", select 1 of your Characters. Change the attack target to the selected Character.",[] DON!! −1: Draw 2 cards.,-ONE PIECE CARD THE BEST vol.2- [PRB-02],https://asia-en.onepiece-cardgame.com/images/cardlist/card/EB01-038_r1.png
EB01-046_r1,Brook,SR,Character,3,,Slash,4000,1000,Black,2,Straw Hat Crew,"[On Play]/[When Attacking] Give up to 1 of your opponent's Characters −1 cost during this turn. Then, K.O. up to 1 of your opponent's Characters with a cost of 0.",,-ONE PIECE CARD THE BEST vol.2- [PRB-02],https://asia-en.onepiece-cardgame.com/images/cardlist/card/EB01-046_r1.png
