card_id,name,rarity,card_type,cost,life,attribute,power,counter,color,block_icon,type,effect,trigger,card_set,card_image_url
ST21-001,Monkey.D.Luffy,L,Leader,,5,Strike,5000,,Red,3,The Four Emperors/Straw Hat Crew,[DON!! x1] [Activate: Main] [Once Per Turn] Give up to 2 rested DON!! cards to 1 of your Characters.,,-GEAR5- [ST-21],https://asia-en.onepiece-cardgame.com/images/cardlist/card/ST21-001.png
ST21-001_p1,Monkey.D.Luffy,L,Leader,,5,Strike,5000,,Red,3,The Four Emperors/Straw Hat Crew,[DON!! x1] [Activate: Main] [Once Per Turn] Give up to 2 rested DON!! cards to 1 of your Characters.,,-GEAR5- [ST-21],https://asia-en.onepiece-cardgame.com/images/cardlist/card/ST21-001_p1.png
ST21-002,Usopp,C,Character,2,,Ranged,3000,2000,Red,3,Straw Hat Crew,[DON!! x2] [Opponent's Turn] This Character gains +2000 power.,,-GEAR5- [ST-21],https://asia-en.onepiece-cardgame.com/images/cardlist/card/ST21-002.png
ST21-002_p1,Usopp,C,Character,2,,Ranged,3000,2000,Red,3,Straw Hat Crew,[DON!! x2] [Opponent's Turn] This Character gains +2000 power.,,-GEAR5- [ST-21],https://asia-en.onepiece-cardgame.com/images/cardlist/card/ST21-002_p1.png
ST21-003,Sanji,C,Character,2,,Strike,3000,2000,Red,3,Straw Hat Crew,"[On Play] Select up to 1 of your {Straw Hat Crew} type Characters with 6000 power or more. If the selected Character attacks during this turn, your opponent cannot activate [Blocker].",,-GEAR5- [ST-21],https://asia-en.onepiece-cardgame.com/images/cardlist/card/ST21-003.png
ST21-003_p1,Sanji,C,Character,2,,Strike,3000,2000,Red,3,Straw Hat Crew,"[On Play] Select up to 1 of your {Straw Hat Crew} type Characters with 6000 power or more. If the selected Character attacks during this turn, your opponent cannot activate [Blocker].",,-GEAR5- [ST-21],https://asia-en.onepiece-cardgame.com/images/cardlist/card/ST21-003_p1.png
ST21-004,Jewelry Bonney,C,Character,1,,Special,3000,,Red,3,Egghead/Bonney Pirates,[DON!! x2] [On K.O.] Draw 1 card.,,-GEAR5- [ST-21],https://asia-en.onepiece-cardgame.com/images/cardlist/card/ST21-004.png
ST21-004_p1,Jewelry Bonney,C,Character,1,,Special,3000,,Red,3,Egghead/Bonney Pirates,[DON!! x2] [On K.O.] Draw 1 card.,,-GEAR5- [ST-21],https://asia-en.onepiece-cardgame.com/images/cardlist/card/ST21-004_p1.png
ST21-005,Jinbe,C,Character,2,,Strike,4000,1000,Red,3,Fish-Man/Straw Hat Crew,,,-GEAR5- [ST-21],https://asia-en.onepiece-cardgame.com/images/cardlist/card/ST21-005.png
ST21-005_p1,Jinbe,C,Character,2,,Strike,4000,1000,Red,3,Fish-Man/Straw Hat Crew,,,-GEAR5- [ST-21],https://asia-en.onepiece-cardgame.com/images/cardlist/card/ST21-005_p1.png
ST21-006,Stussy,C,Character,3,,Special,5000,1000,Red,3,Egghead,,,-GEAR5- [ST-21],https://asia-en.onepiece-cardgame.com/images/cardlist/card/ST21-006.png
ST21-006_p1,Stussy,C,Character,3,,Special,5000,1000,Red,3,Egghead,,,-GEAR5- [ST-21],https://asia-en.onepiece-cardgame.com/images/cardlist/card/ST21-006_p1.png
ST21-007,Sentomaru,C,Character,2,,Slash,2000,1000,Red,3,Egghead/Navy,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)",,-GEAR5- [ST-21],https://asia-en.onepiece-cardgame.com/images/cardlist/card/ST21-007.png
ST21-007_p1,Sentomaru,C,Character,2,,Slash,2000,1000,Red,3,Egghead/Navy,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)",,-GEAR5- [ST-21],https://asia-en.onepiece-cardgame.com/images/cardlist/card/ST21-007_p1.png
ST21-008,Tony Tony.Chopper,C,Character,4,,Wisdom,6000,1000,Red,3,Animal/Straw Hat Crew,,,-GEAR5- [ST-21],https://asia-en.onepiece-cardgame.com/images/cardlist/card/ST21-008.png
ST21-008_p1,Tony Tony.Chopper,C,Character,4,,Wisdom,6000,1000,Red,3,Animal/Straw Hat Crew,,,-GEAR5- [ST-21],https://asia-en.onepiece-cardgame.com/images/cardlist/card/ST21-008_p1.png
ST21-009,Nami,C,Character,3,,Special,1000,1000,Red,3,Straw Hat Crew,[Activate: Main] [Once Per Turn] Give up to 2 rested DON!! cards to 1 of your {Straw Hat Crew} type Leader or Character cards.,,-GEAR5- [ST-21],https://asia-en.onepiece-cardgame.com/images/cardlist/card/ST21-009.png
ST21-009_p1,Nami,C,Character,3,,Special,1000,1000,Red,3,Straw Hat Crew,[Activate: Main] [Once Per Turn] Give up to 2 rested DON!! cards to 1 of your {Straw Hat Crew} type Leader or Character cards.,,-GEAR5- [ST-21],https://asia-en.onepiece-cardgame.com/images/cardlist/card/ST21-009_p1.png
ST21-010,Nico Robin,C,Character,3,,Strike,4000,1000,Red,3,Straw Hat Crew,[DON!! x2] [When Attacking] K.O. up to 1 of your opponent's Characters with 4000 power or less.,,-GEAR5- [ST-21],https://asia-en.onepiece-cardgame.com/images/cardlist/card/ST21-010.png
ST21-010_p1,Nico Robin,C,Character,3,,Strike,4000,1000,Red,3,Straw Hat Crew,[DON!! x2] [When Attacking] K.O. up to 1 of your opponent's Characters with 4000 power or less.,,-GEAR5- [ST-21],https://asia-en.onepiece-cardgame.com/images/cardlist/card/ST21-010_p1.png
ST21-011,Franky,C,Character,3,,Strike,4000,1000,Red,3,Straw Hat Crew,[DON!! x2] [Opponent's Turn] All of your {Straw Hat Crew} type Characters with 4000 base power or less gain +1000 power.,,-GEAR5- [ST-21],https://asia-en.onepiece-cardgame.com/images/cardlist/card/ST21-011.png
ST21-011_p1,Franky,C,Character,3,,Strike,4000,1000,Red,3,Straw Hat Crew,[DON!! x2] [Opponent's Turn] All of your {Straw Hat Crew} type Characters with 4000 base power or less gain +1000 power.,,-GEAR5- [ST-21],https://asia-en.onepiece-cardgame.com/images/cardlist/card/ST21-011_p1.png
ST21-012,Brook,C,Character,3,,Slash,4000,1000,Red,3,Straw Hat Crew,[When Attacking] Give up to 2 rested DON!! cards to your Leader or 1 of your Characters.,,-GEAR5- [ST-21],https://asia-en.onepiece-cardgame.com/images/cardlist/card/ST21-012.png
ST21-012_p1,Brook,C,Character,3,,Slash,4000,1000,Red,3,Straw Hat Crew,[When Attacking] Give up to 2 rested DON!! cards to your Leader or 1 of your Characters.,,-GEAR5- [ST-21],https://asia-en.onepiece-cardgame.com/images/cardlist/card/ST21-012_p1.png
ST21-013,Vegapunk,C,Character,1,,Wisdom,3000,1000,Red,3,Scientist/Egghead,,,-GEAR5- [ST-21],https://asia-en.onepiece-cardgame.com/images/cardlist/card/ST21-013.png
ST21-013_p1,Vegapunk,C,Character,1,,Wisdom,3000,1000,Red,3,Scientist/Egghead,,,-GEAR5- [ST-21],https://asia-en.onepiece-cardgame.com/images/cardlist/card/ST21-013_p1.png
ST21-014,Monkey.D.Luffy,SR,Character,5,,Strike,6000,,Red,3,The Four Emperors/Straw Hat Crew,"[Rush] (This card can attack on the turn in which it is played.)
[When Attacking] Give up to 1 rested DON!! card to your Leader or 1 of your Characters.",,-GEAR5- [ST-21],https://asia-en.onepiece-cardgame.com/images/cardlist/card/ST21-014.png
ST21-014_p1,Monkey.D.Luffy,SR,Character,5,,Strike,6000,,Red,3,The Four Emperors/Straw Hat Crew,"[Rush] (This card can attack on the turn in which it is played.)
[When Attacking] Give up to 1 rested DON!! card to your Leader or 1 of your Characters.",,-GEAR5- [ST-21],https://asia-en.onepiece-cardgame.com/images/cardlist/card/ST21-014_p1.png
ST21-015,Roronoa Zoro,SR,Character,4,,Slash,5000,1000,Red,3,Straw Hat Crew,"[DON!! x2] This Character gains [Rush].
[On K.O.] Play up to 1 red Character card with 6000 power or less other than [Roronoa Zoro] from your hand.",,-GEAR5- [ST-21],https://asia-en.onepiece-cardgame.com/images/cardlist/card/ST21-015.png
ST21-015_p1,Roronoa Zoro,SR,Character,4,,Slash,5000,1000,Red,3,Straw Hat Crew,"[DON!! x2] This Character gains [Rush].
[On K.O.] Play up to 1 red Character card with 6000 power or less other than [Roronoa Zoro] from your hand.",,-GEAR5- [ST-21],https://asia-en.onepiece-cardgame.com/images/cardlist/card/ST21-015_p1.png
ST21-016,Gum-Gum Dawn Whip,C,Event,2,,,,,Red,3,The Four Emperors/Straw Hat Crew,"[Main] Up to 1 of your Leader or Character cards gains +1000 power during this turn. Then, up to 1 of your opponent's Characters with 4000 power or less cannot activate [Blocker] during this turn.",[] K.O. up to 1 of your opponent's Characters with 4000 power or less.,-GEAR5- [ST-21],https://asia-en.onepiece-cardgame.com/images/cardlist/card/ST21-016.png
ST21-017,Gum-Gum Mole Pistol,C,Event,4,,,,,Red,3,The Four Emperors/Straw Hat Crew,"[Main] Give up to 1 of your opponent's Characters −5000 power during this turn. Then, if you have a Character with 6000 power or more, K.O. up to 1 of your opponent's Characters with 2000 power or less.",[] Activate this card's [Main] effect.,-GEAR5- [ST-21],https://asia-en.onepiece-cardgame.com/images/cardlist/card/ST21-017.png
