card_id,name,rarity,card_type,cost,life,attribute,power,counter,color,block_icon,type,effect,trigger,card_set,card_image_url
ST14-001,Monkey.D.Luffy,L,Leader,,5,Strike,5000,,Black,2,Straw Hat Crew,"[DON!! x1] All of your Characters gain +1 cost. If you have a Character with a cost of 8 or more, this Leader gains +1000 power.",,-3D2Y- [ST-14],https://asia-en.onepiece-cardgame.com/images/cardlist/card/ST14-001.png
ST14-002,Usopp,C,Character,3,,Ranged,4000,1000,Black,2,Straw Hat Crew,"[DON!! x1] [When Attacking] If you have a Character with a cost of 8 or more, K.O. up to 1 of your opponent's Characters with a cost of 4 or less.",,-3D2Y- [ST-14],https://asia-en.onepiece-cardgame.com/images/cardlist/card/ST14-002.png
ST14-003,Sanji,SR,Character,5,,Strike,6000,,Black,2,Straw Hat Crew,"[On Play] If you have a Character with a cost of 6 or more, K.O. up to 1 of your opponent's Characters with a cost of 5 or less.",,-3D2Y- [ST-14],https://asia-en.onepiece-cardgame.com/images/cardlist/card/ST14-003.png
ST14-004,Jinbe,C,Character,3,,Strike,4000,1000,Black,2,Fish-Man/The Sun Pirates,[Activate: Main] [Once Per Turn] Up to 1 of your black {Straw Hat Crew} type Characters gains +2 cost until the end of your opponent's next turn.,,-3D2Y- [ST-14],https://asia-en.onepiece-cardgame.com/images/cardlist/card/ST14-004.png
ST14-005,Tony Tony.Chopper,C,Character,4,,Wisdom,6000,1000,Black,2,Animal/Straw Hat Crew,,,-3D2Y- [ST-14],https://asia-en.onepiece-cardgame.com/images/cardlist/card/ST14-005.png
ST14-006,Nami,SR,Character,3,,Special,2000,1000,Black,2,Straw Hat Crew,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)
[On Play] If you have 6 or less cards in your hand and a Character with a cost of 8 or more, draw 1 card.",,-3D2Y- [ST-14],https://asia-en.onepiece-cardgame.com/images/cardlist/card/ST14-006.png
ST14-007,Nico Robin,C,Character,6,,Strike,7000,1000,Black,2,Straw Hat Crew,"[On Play]/[When Attacking] If you have a Character with a cost of 8 or more, give up to 1 of your opponent's Characters −5 cost during this turn.",,-3D2Y- [ST-14],https://asia-en.onepiece-cardgame.com/images/cardlist/card/ST14-007.png
ST14-008,Haredas,C,Character,1,,Wisdom,,2000,Black,2,Sky Island,"[Activate: Main] You may rest this Character: Up to 1 of your black {Straw Hat Crew} type Characters gains +2 cost until the end of your opponent's next turn. Then, if you have a Character with a cost of 8 or more, draw 1 card and trash 1 card from your hand.",,-3D2Y- [ST-14],https://asia-en.onepiece-cardgame.com/images/cardlist/card/ST14-008.png
ST14-009,Franky,C,Character,5,,Special,6000,1000,Black,2,Straw Hat Crew,"[DON!! x1] [Opponent's Turn] If you have a Character with a cost of 6 or more, this Character cannot be K.O.'d by your opponent's effects and gains +2000 power.",,-3D2Y- [ST-14],https://asia-en.onepiece-cardgame.com/images/cardlist/card/ST14-009.png
ST14-010,Brook,C,Character,5,,Slash,7000,1000,Black,2,Straw Hat Crew,,,-3D2Y- [ST-14],https://asia-en.onepiece-cardgame.com/images/cardlist/card/ST14-010.png
ST14-011,Heracles,C,Character,1,,Wisdom,2000,2000,Black,2,Bowin Island,[Activate: Main] You may rest this Character: Up to 1 of your black {Straw Hat Crew} type Characters gains +2 cost until the end of your opponent's next turn.,,-3D2Y- [ST-14],https://asia-en.onepiece-cardgame.com/images/cardlist/card/ST14-011.png
ST14-012,Monkey.D.Luffy,C,Character,8,,Strike,10000,,Black,2,Straw Hat Crew,"If you have a Character with a cost of 10 or more, this Character gains [Rush].
(This card can attack on the turn in which it is played.)",,-3D2Y- [ST-14],https://asia-en.onepiece-cardgame.com/images/cardlist/card/ST14-012.png
ST14-013,Roronoa Zoro,C,Character,6,,Slash,8000,1000,Black,2,Straw Hat Crew,,,-3D2Y- [ST-14],https://asia-en.onepiece-cardgame.com/images/cardlist/card/ST14-013.png
ST14-014,Gum-Gum Giant Rifle,C,Event,1,,,,,Black,2,Straw Hat Crew,"[Counter] If you have a Character with a cost of 8 or more, up to 1 of your Leader or Character cards gains +3000 power during this battle.",[] Add up to 1 of your Character cards with a cost of 2 or less from your trash to your hand.,-3D2Y- [ST-14],https://asia-en.onepiece-cardgame.com/images/cardlist/card/ST14-014.png
ST14-015,Gum-Gum Diable Three-Swords Style Mouten Jet Six Hundred Pound Phoenix Cannon,C,Event,2,,,,,Black,2,Straw Hat Crew,"[Main] Up to 1 of your Leader or Character cards gains +3000 power during this turn. Then, if you have a Character with a cost of 8 or more, K.O. up to 1 of your opponent's Characters with a cost of 2 or less.","[] If you have a Character with a cost of 8 or more, K.O. up to 1 of your opponent's Characters with a cost of 5 or less.",-3D2Y- [ST-14],https://asia-en.onepiece-cardgame.com/images/cardlist/card/ST14-015.png
ST14-016,I Have My Crew!!,C,Event,1,,,,,Black,2,Straw Hat Crew,"[Main] Draw 1 card. Then, up to 1 of your Characters gains +3 cost until the end of your opponent's next turn.",[] K.O. up to 1 of your opponent's Characters with a cost of 3 or less.,-3D2Y- [ST-14],https://asia-en.onepiece-cardgame.com/images/cardlist/card/ST14-016.png
ST14-017,Thousand Sunny,C,Stage,1,,,,,Black,2,Straw Hat Crew,"All of your black {Straw Hat Crew} type Characters gain +1 cost.
[On Play] If your Leader has the {Straw Hat Crew} type, draw 1 card.",,-3D2Y- [ST-14],https://asia-en.onepiece-cardgame.com/images/cardlist/card/ST14-017.png
